Field_	Motor_	Timestamp_	Sample1_X_	Sample1_Y_	Sample2_X_	Sample2_Y_	Sample_T_
3.499988310E+1	0.000000000E+0	4.002510973E+0	9.434372187E-4	1.574259717E-3	1.534778159E-3	1.874373178E-3	1.755800000E+0
3.499988310E+1	0.000000000E+0	4.039080469E+0	9.437411791E-4	1.573896967E-3	1.534591778E-3	1.874104957E-3	1.755800000E+0
3.499987409E+1	0.000000000E+0	4.073480343E+0	9.441702860E-4	1.573657035E-3	1.534254523E-3	1.873749774E-3	1.755800000E+0
3.499988310E+1	0.000000000E+0	4.112820124E+0	9.448132478E-4	1.573533402E-3	1.533789909E-3	1.873363392E-3	1.755800000E+0
3.499988310E+1	0.000000000E+0	4.151123849E+0	9.455090039E-4	1.573561341E-3	1.533247530E-3	1.872975496E-3	1.755800000E+0
3.499986507E+1	0.000000000E+0	4.202184732E+0	9.466567426E-4	1.573810936E-3	1.532361493E-3	1.872462104E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	4.240870740E+0	9.475701372E-4	1.574124559E-3	1.531594084E-3	1.872071531E-3	1.755800000E+0
3.499985606E+1	0.000000000E+0	4.277360785E+0	9.485555347E-4	1.574540511E-3	1.530817593E-3	1.871729153E-3	1.755800000E+0
3.499984704E+1	0.000000000E+0	4.315249681E+0	9.494405822E-4	1.574967057E-3	1.530023524E-3	1.871418906E-3	1.755800000E+0
3.499983803E+1	0.000000000E+0	4.352122111E+0	9.504851769E-4	1.575522125E-3	1.529074390E-3	1.871087239E-3	1.755700000E+0
3.499983803E+1	0.000000000E+0	4.402564316E+0	9.518096922E-4	1.576294657E-3	1.527918153E-3	1.870744978E-3	1.755700000E+0
3.499982902E+1	0.000000000E+0	4.441574169E+0	9.527665097E-4	1.576899085E-3	1.527026063E-3	1.870510518E-3	1.755700000E+0
3.499982000E+1	0.000000000E+0	4.481498738E+0	9.536772268E-4	1.577515272E-3	1.526242006E-3	1.870342181E-3	1.755700000E+0
3.499982000E+1	0.000000000E+0	4.517319194E+0	9.544513887E-4	1.578081865E-3	1.525454805E-3	1.870190608E-3	1.755700000E+0
3.499982000E+1	0.000000000E+0	4.558072065E+0	9.551740368E-4	1.578665804E-3	1.524853636E-3	1.870076056E-3	1.755700000E+0
3.499982000E+1	0.000000000E+0	4.602454285E+0	9.558505844E-4	1.579303993E-3	1.524237334E-3	1.869931933E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	4.638743954E+0	9.562940104E-4	1.579832402E-3	1.523788203E-3	1.869770233E-3	1.755700000E+0
3.499981099E+1	0.000000000E+0	4.679472379E+0	9.565856308E-4	1.580326119E-3	1.523466664E-3	1.869622152E-3	1.755700000E+0
